Id,X,Y,WGS84 Web Mercator (Auxiliary Sphere) Coordinates,GPS (WGS84) (deg)  Coordinates,Latitude,Longitude,GPS Coordinates (Google Maps),Name,Address,County,EirCode,Telephone,Fax,email,Heritage Ireland Webpage,Website,"Opening Hours",Admission Charges,Facilities,Image URL,Site Type,Region,2015 Visitor Numbers
50,-977660.64,6903754.18,"-977660.64, 6903754.18","52.56946432612431°N, -8.782474994659424°E",52.56946433,-8.782474995,"52.56946432612431, -8.782474994659424",Adare Castle,Adare,Co. Limerick,V94 HNH0,+353 61 39 66 66,+353 61 39 69 32,adareheritage@eircom.net,www.heritageireland.ie/en/ShannonRegion/AdareCastle/,,"1 Jun - 30 Sep 2016

Average Length of Visit: 1 hour","Adult: EUR 6.00
Child/Student/Senior EUR 5.00
Family: EUR 15.00","Toilets, toilet for visitors with disabilities available at the Adare Heritage Centre.

Restaurant/Tearooms: Restaurant in the Adare Heritage Centre.",http://www.heritageireland.ie/en/media/061205%20Adare%20Castle%20%20035.jpg,Heritage Site,Shannon,#N/A
32,-748137,6934171,"-748137, 6934171","52.73522444703166°N, -6.720629017153264°E",52.73522445,-6.720629017,"52.73522444703166, -6.720629017153264",Altamont Gardens,Tullow,Co. Carlow,R93 N882,+353 59 915 9444,+353 59 915 9510,altamontgardens@opw.ie,www.heritageireland.ie/en/South-East/AltamontGardens/,,"(Subject to change. Please telephone in advance of visit)
Summer: Open 7 days including bank holidays
Easter - April: 09:00 - 18:30
May - August: 09:00 - 18:30
September:     09:00 - 18:30
October:           09:00 - 17:00

Winter:
Nov & Feb: 09:00 - 16.30
Dec & Jan:   09:00 - 16:00
Closed on Christmas Day

Average length of visit: 1 - 2 hours","Free, except for pre-booked guided tours.

Pre-booked Guided Tour Charges: 
EUR 3.00 

(Charges subject to change when house opens)
","Picnic tables, toilets, car park

Restaurant/Cafe: Small seasonal coffe shop in Walled Garden.  Open weekends throughout the year & daily for June/July/August.

Altamont Plant Sales: Open daily throughout the year.",http://www.heritageireland.ie/en/media/AltamontGardens.jpg,Heritage Site,South-East,"58,435"
57,-703252,7049788,"-703252, 7049788","53.35957224533105°N, -6.317420201876216°E",53.35957225,-6.317420202,"53.35957224533105, -6.317420201876216",Aras an Uachtarain,Phoenix Park,Dublin 8,D08 E1W3,"+353 1 677 0095
1890 430 430 (Lo Call)",+353 1 672 6454,phoenixparkvisitorcentre@opw.ie,www.heritageireland.ie/en/Dublin/ArasanUachtarain/,www.president.ie & www.araskids.ie,,"Free admission tickets are issued at the Phoenix Park Visitor Centre only on the day, on a first-come, first-served basis. Group visits and/or advance bookings are not permitted.",Restaurant / Tearooms: Restaurant in the grounds of the Phoenix Park Visitor Centre.,http://www.heritageireland.ie/en/media/ArasanUachtarain.jpg,Heritage Site,Dublin,"4,343"
58,-699881.32,7048170.6,"-699881.32, 7048170.6","53.35090034751662°N, -6.287140846252441°E",53.35090035,-6.287140846,"53.35090034751662, -6.287140846252441",Arbour Hill Cemetery,Arbour Hill,Dublin 7,,+353 1 821 3021,,superintendent.park@opw.ie,www.heritageireland.ie/en/Dublin/ArbourHillCemetery/,,"All year round:
Mon-Fri: 08:00 - 16:00
Sat:           11:00 - 16:00
Sun:          09:30 - 16:00

Avg. Length of Visit: 30 - 45 minutes",Free,Restaurant/Tearooms: None,http://www.heritageireland.ie/en/media/071024%20Arbour%20Hill%20013.jpg,Heritage Site,Dublin,#N/A
51,-1088870,6859756,"-1088870, 6859756","52.32857791069304°N, -9.781485634192231°E",52.32857791,-9.781485634,"52.32857791069304, -9.781485634192231",Ardfert Cathedral,Ardfert,Co. Kerry,V92 KR7P,+353 66 713 4711,+353 66 713 4711,ardfertcathedral@opw.ie,www.heritageireland.ie/en/ShannonRegion/ArdfertCathedral/,,"28 April (open at 12:00) -  
28 September 2016 (closed at 14:00): Daily 10:00 - 18:00 
 
Average length of visit: 1 hour
Last admission 45 minutes before closing.","Adult: EUR 5.00

Sen/Group: EUR 4.00

Child/Student: EUR 3.00

Family: EUR 13.00
",,http://www.heritageireland.ie/en/media/ArdfertaCathedral.jpg,Heritage Site,Shannon,"7,802"
8,-973424,7038710,"-973424, 7038710","53.300140957473324°N, -8.74441657128761°E",53.30014096,-8.744416571,"53.300140957473324, -8.74441657128761",Athenry Castle,Athenry,Co. Galway,H65 WP93,+353 91 84 47 97,+353 91 84 57 96,athenrycastle@opw.ie,www.heritageireland.ie/en/West/AthenryCastle/,,"24 Mar - 1 Oct 2016: 
Daily 09:30 - 18:00
02 Oct - 26 Oct : 
Monday-Thursday only 09:30 - 17:00

Last admission 45 mins before closing.

Average Length of Visit: 1 Hour","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Exhibition, public car/coach parking available close to site, toilets

Restaurant/Tearooms: None",http://www.heritageireland.ie/en/media/AthenryCastle.jpg,Heritage Site,West,"10,848"
9,-1032577,7060828,"-1032577, 7060828","53.4187173267542°N, -9.275797011302833°E",53.41871733,-9.275797011,"53.4187173267542, -9.275797011302833",Aughnanure Castle,Oughterard,Co. Galway,H91 PX20,+353 91 55 22 14,+353 91 55 72 44,aughnanurecastle@opw.ie,www.heritageireland.ie/en/West/AughnanureCastle/,,"16 Mar - 2 Nov 2016: Daily 09:30-18:00
 
Average Length of Visit: 45 minutes","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Exhibition, toilets, car / coach park

Restaurant/Tearooms: None",http://www.heritageireland.ie/en/media/Aughnanure%20Castle%20RESIZED.png,Heritage Site,West,"36,929"
33,-775645,6844680,"-775645, 6844680","52.24573480922975°N, -6.967737585508862°E",52.24573481,-6.967737586,"52.24573480922975, -6.967737585508862",Ballyhack Castle,Ballyhack,Co. Wexford,Y34 TN56,+353 51 38 94 68,+353 51 38 94 68,jerpointabbey@opw.ie,www.heritageireland.ie/en/South-East/BallyahackCastle/,,"21 May - 31 Aug 2016: 09:30 - 17:00
Saturday - Wednesday inclusive

Last admission 45 mins before closing

Average Length of Visit: 45 minutes",Free,"Parking nearby in Village.

Restaurant/Tearooms: None",http://www.heritageireland.ie/en/media/BallyhackCastle.jpg,Heritage Site,South-East,"2,613"
18,-919432,6782899,"-919432, 6782899","51.90462628407013°N, -8.259398183085798°E",51.90462628,-8.259398183,"51.90462628407013, -8.259398183085798",Barryscourt Castle,Carrigtwohill,Co.Cork,T45 Y290,+353 21 488 2218,N/A,barryscourtcastle@opw.ie,www.heritageireland.ie/en/South-West/BarryscourtCastle/,,"Please note that this site is closed to the public until further notice, the OPW regret any inconvenience caused.",Free,"Exhibition, toilets, car park.
Please note that the Tearooms are closed at present

Restaurant/Tearooms: Yes
",http://www.heritageireland.ie/en/media/BarryscourtCastle.jpg,Heritage Site,South-West,0
79,-714956.73,7118075.24,"-714956.73, 7118075.24","53.724094208197506°N, -6.422565579414368°E",53.72409421,-6.422565579,"53.724094208197506, -6.422565579414368",Battle of the Boyne,"Oldbridge, Drogheda",Co. Meath,A92 CY68,+353 41 980 9950,+353 41 984 9873,battleoftheboyne@opw.ie,www.heritageireland.ie/en/midlandseastcoast/BattleoftheBoyne/,www.battleoftheboyne.ie,"Open all year.

Mar-Apr:  	Daily 	09:30-17:30 	 
May-Sep: 	Daily 	10:00-18:00
Oct-Feb:   	Daily 	09:00-17:00 	 

Last admission one hour before closing. 

Grounds: Dogs are welcome but must be on leads at all times.

All groups must be pre-booked.

Site closes Christmas and New Year

Average Length of Visit: 
Visitor Centre - 1 hour. 
Self Guiding Walks - 1 hour","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00
Free admission to the grounds (battlesite walkways).","Exhibitions, audio-visual presentation (English, Irish, French, German, Italian and Spanish), display of original and replica 17th Century weaponry, laser battlefield model,  walled garden, car and coach parking. 

The garden and Tea Pavillion can be accessed separately to the Visitor Centre, free of charge.  

Centre is accessible to visitors with disabilities - including the Pavillion Tea Room and toilet facilities.

Restaurant/Tearooms: The Tearoom Pavilion.  Capacity 100. ",http://www.heritageireland.ie/en/media/BattleoftheBoyne.jpg,Heritage Site,Midlands & East Coast,"58,053"
10,-923621,7165159,"-923621, 7165159","53.97360510070873°N, -8.297028610337566°E",53.9736051,-8.29702861,"53.97360510070873, -8.297028610337566",Boyle Abbey,Boyle,Co. Roscommon,F52 XE16,+353 71 966 2604,+353 71 966 4817,ceidefields@opw.ie,www.heritageireland.ie/en/West/BoyleAbbey/,,"24 Mar - 21 Sep 2016: 
Daily 10:00 - 18:00

Last admission 45 mins before closing.

Average Length of Visit: 1 Hour.","Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00","Exhibitions, toilets, public car / coach park available close to the site.

Restaurant/Tearooms: None",http://www.heritageireland.ie/en/media/BoyleAbbey.jpg,Heritage Site,West,"6,919"
