Name,County,Admission Charges,Adult,Senior,Group,Child,Student,Family,Region,2015 Visitor Numbers
Rathcroghan - Royal Celtic Site,Co. Roscommon,"Exhibition: 
Adult:            EUR 7.00 
Senior:          EUR 6.00 
Student:       EUR 6.00 
Child:             EUR 3.00 
Groups 10+: EUR 4.00 

Site Tour: 
Adult:            EUR 5.00 
Senior:          EUR 4.00 
Student:       EUR 4.00 
Child:             EUR 3.00 
Groups 10+: EUR 4.50 

Combined: 
Adult:             EUR 10.00 
Senior:             EUR 8.00 
Student:          EUR 8.00 
Child:                EUR 6.00 
Groups 10+:    EUR 7.00 

Min charge of EUR 20 for site tours 
Family = 2 Adults, up to 5 children. 

Please note the OPW Heritage Card and Free Wednesdays initiative allow for free admission to the exhibition rooms only.",7,6,6,3,6,20,West,0
Altamont Gardens,Co. Carlow,"Free, except for pre-booked guided tours.

Pre-booked Guided Tour Charges: 
EUR 3.00 

(Charges subject to change when house opens)
",0,0,0,0,0,0,South-East,58435
Dromore Wood,Co. Clare,Free,0,0,0,0,0,0,Shannon,0
Ennis Friary,Co. Clare,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,Shannon,11377
Scattery Island Centre,Co. Clare,Free,0,0,0,0,0,0,Shannon,1750
Barryscourt Castle,Co. Cork,Free,0,0,0,0,0,0,South-West,0
Charles Fort,Co. Cork,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-West,86849
Desmond Castle,Co. Cork,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-West,9493
Doneraile Wildlife Park,Co. Cork,Free,0,0,0,0,0,0,South-West,0
Fota Arboretum and Gardens,Co. Cork,"Free. There is no admission charge to Fota Arboretum & Gardens. Site is state-owned and managed by OPW) It is independent of all other enterprises on the island i.e. Fota House, Fota Wildlife Park, etc.",0,0,0,0,0,0,South-West,0
Ilnacullin (Garinish Island) Cork,Co. Cork,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00

A seperate charge is imposed by boat operators.",5,4,4,3,3,13,South-West,58557
Donegal Castle,Co. Donegal,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,North-West,47136
Glebe House & Gallery,Co. Donegal,"Adult: EUR 5.00 
Sen/Group: EUR 4.00 
Child/Student: EUR 3.00 
Family: EUR 13.00 

Gallery - Free of charge. ",5,4,4,3,3,13,North-West,23085
Glenveagh National Park and Glenveagh Castle,Co. Donegal,"Castle:
Adult: EUR 7.00 
Group/Senior Citizen: EUR 3.00 Groups of 20+: Bus & Castle Tour EUR 7.00 
Child/Student: EUR 5.00 
Family Rate: EUR 15.00 

Access to the Castle is by shuttle bus (charges apply) from Visitor Centre-otherwise 3.5 km walk 

Shuttle Bus Price: 
Adult - Return: EUR 3.00
             - Single: EUR 2.00
Concession/
Group - Return: EUR 2.00
              - Single: EUR 1.50

Guided Walks or Guided Garden Tours: EUR 5.00 Adult 

Guided Hill Walks: EUR 10.00 

Admission to the Park and Visitor Centre is Free",7,3,3,5,5,15,North-West,0
Grianan of Aileach,Co. Donegal,Free,0,0,0,0,0,0,North-West,107968
Newmills Corn and Flax Mills,Co. Donegal,Free,0,0,0,0,0,0,North-West,4173
Athenry Castle,Co. Galway,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,West,10848
Aughnanure Castle,Co. Galway,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,West,36929
Connemara National Park,Co. Galway,Free,0,0,0,0,0,0,West,0
Coole Park,Co. Galway,Free,0,0,0,0,0,0,West,0
Dun Aonghasa,Co. Galway,"Adult: EUR 5.00 
Sen/Group: EUR 4.00 
Child/Student: EUR 3.00 
Family: EUR 13.00 
Free admission when staying overnight on Inis Mor participating accommodation.",5,4,4,3,3,13,West,120104
Portumna Castle and Gardens,Co. Galway,"Adult: EUR 5.00 
Sen/Group: EUR 4.00 
Child/Student: EUR 3.00 
Family: EUR 13.00 ",5,4,4,3,3,13,West,14237
Teach An Phiarsaigh (Patrick Peasrse's Cottage),Co. Galway,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,West,8946
Ardfert Cathedral,Co. Kerry,"Adult: EUR 5.00

Sen/Group: EUR 4.00

Child/Student: EUR 3.00

Family: EUR 13.00
",5,4,4,3,3,13,Shannon,7802
Derrynane House,Co. Kerry,"Adult: EUR 5.00
Sen/Group: EUR 4.00
Child/Student: EUR 3.00
Family: EUR 13.00",5,4,4,3,3,13,South-West,26961
Gallarus Oratory,Co. Kerry,"Access to Gallarus Oratory is FREE, but there is a charge for using the private facilities in the visitor centre - the Heritage Card cannot be used.",0,0,0,0,0,0,South-West,3212
Gallarus Castle,Co. Kerry,Free,0,0,0,0,0,0,South-West,51816
Killarney National Park,Co. Kerry,Free,0,0,0,0,0,0,South-West,0
Listowel Castle,Co. Kerry,Free,0,0,0,0,0,0,Shannon,8110
